name,fips,gfips,pop,Age0,Age5,Age10,Age15,Age20,Age25,Age30,Age35,Age40,Age45,Age50,Age55,Age60,Age65,Age70,Age75,Age80,Age85,Age90,Age95
Aguilar town,760,10800760,456,22,21,20,25,15,17,17,23,23,25,26,31,49,42,36,30,18,5,6,5
Iliff town,38590,10838590,246,16,13,20,17,17,11,14,10,14,16,13,11,16,18,18,12,5,5,0,0
Ignacio town,38535,10838535,852,55,60,83,59,43,72,58,37,49,57,30,54,59,45,28,36,19,3,3,2
Jamestown town,39195,10839195,256,7,18,10,10,3,14,15,19,21,18,14,25,27,27,11,5,4,2,4,2
Johnstown town,39855,10839855,17303,1147,1339,1307,1171,971,1126,1500,1427,1268,1219,991,966,886,733,567,398,185,62,30,10
Julesburg town,39965,10839965,1307,58,74,79,81,46,64,80,54,61,64,68,99,111,109,77,67,43,33,29,10
Keenesburg town,40185,10840185,1250,63,72,73,92,74,99,96,87,80,68,67,82,94,73,45,28,27,13,13,4
Kersey town,40515,10840515,1495,111,134,111,108,107,111,119,113,63,95,89,82,74,58,53,30,25,6,2,4
Kim town,40570,10840570,63,1,2,1,4,2,7,3,2,0,3,3,6,2,4,5,3,11,1,1,2
Kiowa town,40790,10840790,725,45,33,60,44,57,64,41,54,32,48,55,43,42,35,31,21,14,5,0,1
Kit Carson town,41010,10841010,255,7,14,31,17,12,17,22,14,19,13,12,15,17,21,9,7,5,2,0,1
Kremmling town,41560,10841560,1509,85,84,101,126,82,81,125,110,111,86,99,103,111,81,57,38,14,12,1,2
Lafayette city,41835,10841835,30411,1717,1981,2040,1810,1492,2042,2274,2408,2235,2065,2098,2010,1902,1673,1199,705,355,245,117,43
La Jara town,42055,10842055,730,38,60,59,44,40,32,44,58,34,34,38,45,54,50,40,21,24,14,0,1
La Junta city,42110,10842110,7322,457,506,510,650,456,448,453,449,374,345,396,463,433,436,366,253,177,108,33,9
Lake City town,42330,10842330,432,16,19,36,12,15,15,19,17,29,27,21,41,42,33,46,27,8,4,1,4
Lakeside town,42495,10842495,16,2,0,2,0,2,0,0,3,0,0,2,0,1,2,1,0,0,0,1,0
Lakewood city,43000,10843000,155984,7505,7604,7940,8156,10578,14185,13945,11526,9539,8958,8965,10016,10002,8552,6835,4952,3359,2082,1000,285
Lamar city,43110,10843110,7687,523,539,586,686,465,498,487,463,440,401,380,460,457,419,365,213,167,69,50,19
Larkspur town,43550,10843550,206,7,14,11,12,9,8,10,15,9,13,15,17,26,21,6,4,3,1,1,4
La Salle town,43605,10843605,2359,182,177,190,147,118,198,183,169,153,149,134,134,106,114,87,53,34,22,4,5
Las Animas city,43660,10843660,2300,126,119,175,128,121,116,116,148,130,110,121,187,181,160,150,77,58,48,13,16
La Veta town,44100,10844100,862,21,30,41,42,25,29,34,47,45,34,37,69,99,85,110,50,35,22,4,3
Leadville city,44320,10844320,2633,99,119,137,113,173,257,280,216,212,179,176,165,153,151,96,41,32,24,6,4
Limon town,44980,10844980,2043,132,155,156,135,125,152,114,123,108,104,125,127,169,93,71,61,41,26,16,10
Littleton city,45255,10845255,45652,1996,2385,2717,2396,2508,3566,3537,3172,2890,2794,2820,3201,3149,2725,2175,1475,1043,673,326,104
Lochbuie town,45530,10845530,8088,722,759,706,581,417,770,738,719,564,451,423,371,322,208,147,96,57,19,13,5
Log Lane Village town,45695,10845695,913,54,77,76,79,77,71,55,65,51,51,40,51,41,34,31,30,18,6,5,1
Lone Tree city,45955,10845955,14253,605,733,849,866,917,1132,970,917,818,980,1090,1079,966,741,685,386,259,150,94,16
Longmont city,45970,10845970,98885,4999,5674,6591,6382,5672,7151,7379,6912,6731,6394,6330,6415,6221,5341,4292,2850,1817,1109,490,135
Louisville city,46355,10846355,21226,916,1381,1535,1260,917,1194,1209,1407,1531,1628,1502,1510,1606,1370,940,486,349,289,156,40
Loveland city,46465,10846465,76378,3783,4138,4452,4307,4055,5262,5548,5100,4552,4276,4240,4953,5448,5120,4149,2966,1967,1238,602,222
Pagosa Springs town,56860,10856860,1571,93,133,93,76,62,79,106,112,96,86,77,118,122,108,81,54,41,20,5,9
Ouray city,56420,10856420,898,32,36,39,38,33,44,61,62,63,75,51,89,76,67,60,40,17,8,4,3
Ovid town,56475,10856475,271,15,8,21,12,12,10,17,14,16,17,12,20,30,10,22,14,9,6,2,4
Palisade town,56970,10856970,2565,109,108,148,141,127,129,160,178,178,143,134,193,192,213,139,104,67,66,24,12
Palmer Lake town,57025,10857025,2636,108,139,172,170,127,138,138,188,156,189,183,239,240,207,113,64,32,26,3,4
Paoli town,57245,10857245,51,0,2,0,3,4,2,4,0,0,2,13,2,3,8,2,1,1,2,2,0
Paonia town,57300,10857300,1447,66,88,74,83,33,67,82,93,78,85,70,119,103,144,110,72,40,24,11,5
Parachute town,57400,10857400,1390,130,120,107,114,108,145,114,78,79,65,79,62,67,51,44,11,4,4,4,4
Parker town,57630,10857630,58512,3660,4380,4978,4579,3286,3571,3992,4560,4632,5019,4216,3449,2732,1985,1484,987,541,277,126,58
Peetz town,58235,10858235,213,15,13,16,10,10,11,16,12,11,8,8,18,28,11,9,5,11,1,0,0
Pierce town,59005,10859005,1097,69,89,108,72,40,82,88,78,72,59,66,63,68,65,31,21,14,6,3,3
Pitkin town,59830,10859830,72,3,3,4,2,0,1,3,6,3,2,6,3,8,11,10,3,2,1,1,0
Platteville town,60160,10860160,2955,187,203,275,240,160,208,229,212,192,193,173,180,166,115,89,68,42,15,7,1
Poncha Springs town,60600,10860600,925,48,56,53,39,29,60,64,59,63,56,53,45,83,82,71,20,27,15,1,1
Pritchett town,61315,10861315,112,11,7,7,10,5,11,2,12,6,3,3,11,8,9,4,1,2,0,0,0
Pueblo city,62000,10862000,111876,6167,6835,7379,7233,7086,7564,7365,7262,6625,6099,6270,7007,7695,6909,5556,3446,2492,1674,942,270
Ramah town,62660,10862660,111,5,4,2,2,5,7,2,2,9,9,10,6,10,12,8,10,4,2,0,2
Rangely town,62880,10862880,2299,145,161,197,240,179,126,150,164,143,105,96,135,168,100,68,52,37,25,8,0
Raymer (New Raymer) town,63045,10863045,110,4,13,12,11,3,3,6,8,10,5,5,3,4,12,3,1,3,1,3,0
Red Cliff town,63265,10863265,257,10,8,16,12,13,15,24,19,20,22,21,27,17,14,5,3,4,5,2,0
Rico town,64090,10864090,288,7,14,15,11,12,16,34,23,16,18,34,24,28,20,8,1,2,2,1,2
Ridgway town,64200,10864200,1183,36,66,79,62,32,51,65,110,76,102,74,82,98,112,78,39,12,5,3,1
Rifle city,64255,10864255,10437,858,824,859,813,742,772,754,843,692,580,585,546,515,381,246,171,111,63,59,23
Rockvale town,64970,10864970,511,22,23,23,27,22,22,18,19,36,26,34,38,52,50,55,23,13,7,0,1
Rocky Ford city,65190,10865190,3876,195,265,264,268,176,215,242,236,212,204,204,282,264,278,198,142,117,68,38,8
Romeo town,65740,10865740,302,21,26,22,18,21,15,21,17,17,14,21,15,18,26,13,3,11,2,0,1
Rye town,66895,10866895,206,13,17,18,13,5,10,8,18,14,14,8,10,15,14,16,6,3,2,1,1
Saguache town,67005,10867005,539,20,21,32,22,29,21,31,37,29,34,19,46,40,60,34,22,20,11,7,4
Salida city,67280,10867280,5666,240,252,284,251,183,282,367,388,378,362,371,420,457,481,392,210,157,115,49,27
San Luis town,68105,10868105,598,30,26,44,41,30,32,28,29,33,39,33,37,48,39,38,33,19,11,7,1
Sanford town,67830,10867830,879,59,87,93,68,40,34,45,59,46,54,41,50,57,43,42,34,16,9,1,1
Sawpit town,68655,10868655,38,3,0,2,2,1,2,4,5,1,4,2,0,3,3,1,1,0,2,0,2
Sedgwick town,68930,10868930,172,7,8,14,8,4,9,12,15,9,3,10,16,20,19,9,3,5,0,1,0
Seibert town,69040,10869040,172,5,2,16,11,2,8,10,11,6,9,13,9,22,20,9,7,5,6,1,0
Severance town,69150,10869150,7683,674,695,723,459,348,562,740,722,608,454,379,351,353,266,188,98,38,18,6,1
Sheridan city,69645,10869645,6105,307,322,425,420,417,550,518,504,377,330,299,398,391,308,221,128,100,62,20,8
Sheridan Lake town,69700,10869700,55,4,4,1,8,4,1,4,4,1,5,4,3,5,3,1,2,0,1,0,0
Silt town,70195,10870195,3536,255,319,317,300,193,243,248,311,283,241,190,180,171,121,81,53,25,4,1,0
Silver Cliff town,70250,10870250,609,33,34,33,25,39,29,18,48,32,27,39,40,53,51,47,27,12,14,4,4
Silver Plume town,70360,10870360,207,10,12,8,5,8,20,20,18,7,15,16,16,10,14,13,9,1,2,2,1
Silverthorne town,70525,10870525,4402,246,271,265,234,191,340,336,350,295,348,279,292,321,295,194,94,40,7,4,0
Silverton town,70580,10870580,622,16,34,20,23,19,51,50,53,36,34,43,43,54,47,48,33,10,4,1,3
Simla town,70635,10870635,601,23,44,41,63,33,43,40,19,34,42,27,45,38,30,20,26,16,14,1,2
Snowmass Village town,71755,10871755,3096,102,148,198,147,149,255,225,253,205,243,211,201,209,221,157,105,42,13,12,0
South Fork town,72395,10872395,510,20,25,9,16,14,20,30,30,22,11,25,44,59,66,55,29,22,6,3,4
Springfield town,73330,10873330,1325,65,75,89,68,73,72,85,83,61,63,68,93,92,96,86,58,50,30,12,6
Starkville town,73715,10873715,62,0,2,4,4,4,0,1,5,1,5,5,7,4,5,7,3,3,0,0,2
Steamboat Springs city,73825,10873825,13224,536,620,824,774,772,1032,1051,975,973,938,902,857,902,840,627,290,145,99,47,20
Sterling city,73935,10873935,13735,703,648,672,881,1025,1242,1140,1158,856,784,715,836,827,788,506,340,274,197,113,30
Stratton town,74485,10874485,656,45,44,59,35,23,36,44,49,41,35,37,31,49,47,39,18,12,7,5,0
Sugar City town,74815,10874815,259,12,6,13,17,14,6,5,13,16,19,9,24,36,23,23,8,4,6,3,2
Superior town,75640,10875640,13094,613,870,1138,1045,830,861,866,929,964,1153,1153,1018,669,429,293,147,76,29,6,5
Swink town,75970,10875970,604,26,33,34,48,32,20,42,31,38,43,31,52,41,52,35,26,13,4,2,1
