name,fips,gfips,pop,Age0,Age5,Age10,Age15,Age20,Age25,Age30,Age35,Age40,Age45,Age50,Age55,Age60,Age65,Age70,Age75,Age80,Age85,Age90,Age95
Alamosa city,1090,10801090,9806,574,687,681,870,1082,771,747,614,538,414,427,486,525,484,348,224,150,111,50,23
Arvada city,3455,10803455,124402,6802,7135,7593,6898,5999,8204,9943,9888,8504,7672,7559,8558,7956,6959,5777,3852,2485,1629,762,227
Aspen city,3620,10803620,7004,254,258,311,328,435,527,648,596,435,519,586,506,458,397,329,227,108,56,25,1
Aurora city,4000,10804000,386261,24598,26009,28091,25958,25806,31196,32169,30105,26622,24498,22319,21524,20158,16679,13062,7954,4915,2875,1301,422
Avon town,4110,10804110,6072,355,295,372,370,354,561,637,579,489,434,406,396,335,225,131,79,29,10,12,3
Basalt town,4935,10804935,3984,213,195,222,184,199,294,322,319,274,289,284,256,311,245,187,106,55,17,10,2
Bayfield town,5265,10805265,2838,220,284,243,167,99,170,221,253,213,169,146,124,134,147,106,63,41,21,13,4
Bennett town,6090,10806090,2862,185,216,253,233,157,236,227,165,175,145,195,195,181,131,82,45,24,7,9,1
Berthoud town,6255,10806255,10332,645,781,755,614,467,620,818,809,709,587,658,734,665,570,408,262,125,72,24,9
Boulder city,7850,10807850,108250,3247,3848,4514,12594,19291,10662,7923,5844,5461,5587,5479,4947,4859,4480,3843,2430,1540,957,584,160
Breckenridge town,8400,10808400,5078,188,177,210,209,266,627,620,517,340,373,334,309,313,269,194,104,21,3,1,3
Brighton city,8675,10808675,40083,2638,2920,3382,2911,2774,2947,3096,3073,2738,2484,2343,2249,1910,1607,1219,820,504,306,120,42
Broomfield city,9280,10809280,74112,3531,4367,5166,4688,4609,6113,5786,5143,5303,5327,4684,4400,4131,3488,3121,1955,1157,722,342,79
Brush city,9555,10809555,5339,337,398,358,351,322,359,312,321,243,290,298,301,314,274,238,180,179,133,108,23
Buena Vista town,10105,10810105,2855,147,163,159,140,91,201,227,228,179,180,134,187,228,184,168,118,57,45,17,2
Burlington city,10600,10810600,3172,243,226,243,193,187,225,206,210,168,169,159,194,193,147,127,104,84,55,32,7
Cañon City city,11810,10811810,17141,805,891,968,957,792,958,1105,1090,924,966,941,1202,1210,1246,1114,826,559,357,177,53
Carbondale town,12045,10812045,6434,330,415,460,369,306,503,527,526,517,454,389,345,332,297,289,147,89,79,45,15
Castle Rock town,12415,10812415,73158,4904,5745,6323,5532,3445,4104,5037,5825,5677,5806,5041,4299,3512,2865,2321,1422,714,353,161,72
Cedaredge town,12635,10812635,2279,84,111,122,119,81,84,92,84,110,94,103,171,173,275,221,158,116,57,16,8
Centennial city,12815,10812815,108418,5562,6830,7786,7213,5150,5948,6731,7749,7487,7480,7078,7274,7348,6309,5264,3333,1881,1230,569,196
Cherry Hills Village city,13845,10813845,6442,270,492,651,661,245,133,119,250,363,551,492,476,453,407,367,230,159,75,31,17
Colorado Springs city,16000,10816000,478961,28105,29914,30934,30258,36359,39624,37405,34213,29050,27343,26930,30026,28472,23861,18864,12026,7782,4945,2171,679
Commerce City city,16495,10816495,62418,4914,5354,5598,4783,3620,4407,5286,5681,5001,4148,3358,2832,2556,2005,1341,738,442,226,90,38
Cortez city,17375,10817375,8766,498,654,592,507,442,576,639,565,459,466,428,510,561,613,427,323,208,166,98,34
Craig city,17760,10817760,9060,581,648,709,626,511,642,668,626,566,480,488,548,609,498,344,235,129,90,50,12
Dacono city,19080,10819080,6297,491,513,458,385,347,456,588,529,438,379,367,389,318,255,180,109,50,29,14,2
Delta city,19850,10819850,9035,520,635,644,574,488,550,528,509,468,459,509,562,622,553,467,367,263,179,96,42
Denver city,20000,10820000,715522,38401,37249,37714,35611,50339,88813,82655,64272,48817,41899,36916,34373,32705,29533,23490,14274,8863,5550,3027,1021
Durango city,22035,10822035,19071,719,830,920,1221,2732,1487,1509,1420,1167,1145,971,938,1124,1004,807,493,243,196,113,32
Eagle town,22200,10822200,7511,435,581,717,566,318,338,476,624,686,673,567,443,359,330,193,108,53,24,16,4
Eaton town,22860,10822860,5802,396,453,478,411,271,323,434,450,356,334,311,329,329,311,286,163,96,50,16,5
Edgewater city,23135,10823135,5005,275,226,223,218,306,596,739,482,388,270,237,295,255,189,121,95,53,23,12,2
Englewood city,24785,10824785,33659,1688,1411,1402,1274,2150,3968,4062,3071,2133,1850,1815,2110,1939,1680,1210,753,503,356,217,67
Erie town,24950,10824950,30038,2131,2585,2743,2149,1037,1172,1973,2643,2659,2498,2014,1774,1503,1273,932,505,269,121,38,19
Estes Park town,25115,10825115,5904,198,226,259,251,195,300,308,319,270,266,320,389,565,609,577,370,229,158,64,31
Evans city,25280,10825280,22165,1696,1718,1742,1651,2060,2084,1922,1622,1377,1220,1130,1064,893,762,530,369,181,92,47,5
Federal Heights city,26270,10826270,14382,1080,1039,1139,1082,1138,1150,1105,1010,931,868,721,855,720,513,424,284,182,96,37,8
Firestone town,26600,10826600,16381,1233,1349,1445,1215,860,1008,1279,1467,1216,1103,996,911,757,599,451,267,139,47,24,15
Florence city,27040,10827040,3822,197,221,255,189,183,232,199,234,200,214,234,258,323,271,222,151,103,83,36,17
Fort Collins city,27425,10827425,169810,7409,8823,9200,14901,22782,16842,13204,11235,10381,9333,7961,7991,8138,7399,5670,3644,2223,1555,821,298
Fort Lupton city,27700,10827700,7955,542,589,608,644,520,534,565,550,469,442,484,542,484,399,272,136,105,47,17,6
Fort Morgan city,27810,10827810,11597,937,926,913,871,781,895,849,722,641,570,613,626,604,530,383,274,222,154,66,20
Fountain city,27865,10827865,29802,2464,2520,2443,2098,2242,2882,2737,2450,1882,1655,1516,1499,1191,882,570,375,226,114,40,16
Frederick town,28360,10828360,14513,1086,1114,1214,898,629,810,1206,1286,1110,1075,964,858,744,575,466,244,131,63,30,10
Frisco town,28690,10828690,2913,106,101,105,107,99,268,306,253,225,230,189,228,205,190,161,84,37,12,3,4
Fruita city,28745,10828745,13395,787,899,1116,948,569,668,891,968,936,815,705,792,804,796,630,501,329,176,57,8
Glendale city,30340,10830340,4613,153,88,111,137,618,1154,778,426,261,203,188,162,135,83,62,28,10,11,4,1
Glenwood Springs city,30780,10830780,9963,548,563,664,649,552,715,838,870,717,646,568,615,604,510,416,210,117,92,53,16
Golden city,30835,10830835,20399,695,849,892,2236,2527,1702,1592,1318,1177,1136,1135,1200,1119,964,733,492,335,171,98,28
Granby town,31605,10831605,2079,100,115,140,147,103,143,174,156,148,128,123,133,188,118,93,34,22,6,4,4
Grand Junction city,31660,10831660,65560,3192,3462,3641,4806,5559,4350,4275,4242,3569,3307,3339,3863,4362,4302,3404,2353,1674,1080,575,205
Greeley city,32155,10832155,108795,7457,7587,7590,9256,10495,8699,8067,7163,6191,5652,5410,5488,5239,4862,3714,2487,1690,1065,539,144
Greenwood Village city,33035,10833035,15691,572,871,1239,1147,839,969,793,863,998,1181,1150,1102,1063,947,835,471,287,208,124,32
Gunnison city,33640,10833640,6560,301,251,277,789,1245,628,518,434,353,304,247,246,279,259,170,114,56,52,22,15
Gypsum town,33695,10833695,8040,552,592,705,632,503,486,698,610,596,647,538,474,404,289,164,95,28,20,6,1
Holyoke city,37270,10837270,2346,152,165,173,180,106,146,156,127,126,122,135,137,148,109,108,82,61,58,37,18
Johnstown town,39855,10839855,17303,1147,1339,1307,1171,971,1126,1500,1427,1268,1219,991,966,886,733,567,398,185,62,30,10
Lafayette city,41835,10841835,30411,1717,1981,2040,1810,1492,2042,2274,2408,2235,2065,2098,2010,1902,1673,1199,705,355,245,117,43
La Junta city,42110,10842110,7322,457,506,510,650,456,448,453,449,374,345,396,463,433,436,366,253,177,108,33,9
Lakewood city,43000,10843000,155984,7505,7604,7940,8156,10578,14185,13945,11526,9539,8958,8965,10016,10002,8552,6835,4952,3359,2082,1000,285
Lamar city,43110,10843110,7687,523,539,586,686,465,498,487,463,440,401,380,460,457,419,365,213,167,69,50,19
La Salle town,43605,10843605,2359,182,177,190,147,118,198,183,169,153,149,134,134,106,114,87,53,34,22,4,5
Las Animas city,43660,10843660,2300,126,119,175,128,121,116,116,148,130,110,121,187,181,160,150,77,58,48,13,16
Leadville city,44320,10844320,2633,99,119,137,113,173,257,280,216,212,179,176,165,153,151,96,41,32,24,6,4
Limon town,44980,10844980,2043,132,155,156,135,125,152,114,123,108,104,125,127,169,93,71,61,41,26,16,10
Littleton city,45255,10845255,45652,1996,2385,2717,2396,2508,3566,3537,3172,2890,2794,2820,3201,3149,2725,2175,1475,1043,673,326,104
Lochbuie town,45530,10845530,8088,722,759,706,581,417,770,738,719,564,451,423,371,322,208,147,96,57,19,13,5
Lone Tree city,45955,10845955,14253,605,733,849,866,917,1132,970,917,818,980,1090,1079,966,741,685,386,259,150,94,16
Longmont city,45970,10845970,98885,4999,5674,6591,6382,5672,7151,7379,6912,6731,6394,6330,6415,6221,5341,4292,2850,1817,1109,490,135
Louisville city,46355,10846355,21226,916,1381,1535,1260,917,1194,1209,1407,1531,1628,1502,1510,1606,1370,940,486,349,289,156,40
Loveland city,46465,10846465,76378,3783,4138,4452,4307,4055,5262,5548,5100,4552,4276,4240,4953,5448,5120,4149,2966,1967,1238,602,222
Lyons town,47070,10847070,2209,89,155,199,120,68,82,91,142,196,233,189,168,166,131,85,54,19,7,11,4
Manitou Springs city,48445,10848445,4858,125,165,215,250,249,330,290,299,336,320,349,448,424,406,327,178,84,35,22,6
Mead town,49600,10849600,4781,264,358,422,397,195,187,275,365,361,330,358,351,327,260,166,86,43,22,8,6
Meeker town,49875,10849875,2374,139,167,221,166,97,139,160,182,125,112,112,159,133,171,126,66,54,28,16,1
Milliken town,50480,10850480,8386,747,731,649,523,428,769,891,679,573,474,453,399,331,311,196,130,58,31,7,6
Monte Vista city,51635,10851635,4247,236,308,325,293,225,219,283,291,238,209,229,266,308,266,217,137,89,74,27,7
Montrose city,51745,10851745,20291,1002,1226,1359,1155,935,1017,1152,1285,1027,1099,1090,1256,1403,1419,1427,1078,714,407,181,59
Monument town,51800,10851800,10399,583,749,1007,895,512,413,522,680,787,875,811,767,597,399,341,194,134,88,35,10
New Castle town,53395,10853395,4923,305,385,380,358,245,312,358,391,365,300,306,331,293,276,146,95,46,25,4,2
Northglenn city,54330,10854330,38131,2316,2445,2513,2455,2775,3503,3381,2916,2462,2175,2062,2238,2082,1555,1150,813,647,421,166,56
Olathe town,55540,10855540,2019,116,153,142,167,168,140,126,142,136,105,125,100,103,69,93,36,47,24,19,8
Orchard City town,55980,10855980,3142,125,142,214,168,97,101,137,140,167,159,168,227,276,277,286,198,146,80,28,6
Palisade town,56970,10856970,2565,109,108,148,141,127,129,160,178,178,143,134,193,192,213,139,104,67,66,24,12
Palmer Lake town,57025,10857025,2636,108,139,172,170,127,138,138,188,156,189,183,239,240,207,113,64,32,26,3,4
