Name,FIPS,GFIPS,Total,Male:,Under 5 years,5 to 9 years,10 to 14 years,15 to 17 years,18 and 19 years,20 years,21 years,22 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 and 61 years,62 to 64 years,65 and 66 years,67 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,Female:,Under 5 years,5 to 9 years,10 to 14 years,15 to 17 years,18 and 19 years,20 years,21 years,22 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 and 61 years,62 to 64 years,65 and 66 years,67 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
Aguilar town,760,10800760,456,235,13,13,14,4,6,3,3,2,6,10,11,14,13,11,16,10,14,7,14,17,16,10,8,221,9,8,6,7,8,0,4,3,11,7,12,9,12,15,15,10,15,9,12,19,14,8,8
Akron town,925,10800925,1757,911,57,56,64,30,15,11,5,27,67,72,82,55,51,47,59,22,33,20,23,43,36,15,21,846,52,56,44,25,14,4,5,26,49,58,66,39,40,37,51,32,35,26,26,38,36,39,48
Alamosa city,1090,10801090,9806,4678,301,360,335,175,238,133,148,256,366,355,289,262,205,202,236,96,143,76,125,168,94,70,45,5128,273,327,346,169,288,149,135,261,405,392,325,276,209,225,250,118,168,132,151,180,130,80,139
Alma town,1530,10801530,296,177,8,4,8,8,3,0,0,0,12,23,21,15,18,14,12,3,12,6,2,2,1,3,2,119,6,6,8,1,3,0,0,2,12,21,13,12,9,6,2,3,7,1,0,3,1,2,1
Antonito town,2355,10802355,647,293,16,15,26,14,4,1,2,4,15,17,18,12,13,29,16,9,16,20,12,11,10,5,8,354,10,22,29,15,4,0,1,8,12,13,30,16,26,19,28,14,23,13,13,17,13,14,14
Arriba town,3235,10803235,202,103,8,4,4,8,3,0,1,5,3,3,6,7,3,3,12,7,3,5,6,6,4,0,2,99,6,8,7,2,0,0,1,2,5,5,8,7,1,9,10,1,4,1,8,4,2,4,4
Arvada city,3455,10803455,124402,61292,3460,3658,3856,2353,1325,632,632,1884,4173,4980,4996,4310,3830,3718,4084,1560,2239,1362,1876,2685,1702,1016,961,63110,3342,3477,3737,2120,1100,568,493,1790,4031,4963,4892,4194,3842,3841,4474,1702,2455,1505,2216,3092,2150,1469,1657
Aspen city,3620,10803620,7004,3544,127,121,155,98,67,48,17,150,259,336,323,198,283,312,237,79,141,79,132,167,117,63,35,3460,127,137,156,102,61,41,31,148,268,312,273,237,236,274,269,98,140,75,111,162,110,45,47
Ault town,3950,10803950,1887,949,73,68,57,53,23,4,12,29,75,85,73,62,69,52,51,23,30,21,20,27,20,9,13,938,61,63,68,29,23,6,11,34,78,77,68,60,45,59,63,31,32,13,29,33,22,15,18
Aurora city,4000,10804000,386261,192685,12418,13312,14610,8423,5045,2524,2488,8256,16067,16601,15321,13412,12164,11170,10542,4099,5415,3347,4343,5886,3495,2080,1667,193576,12180,12697,13481,7992,4498,2400,2348,7790,15129,15568,14784,13210,12334,11149,10982,4345,6299,3734,5255,7176,4459,2835,2931
Avon town,4110,10804110,6072,3282,186,151,183,113,83,41,37,103,333,358,336,273,212,220,220,81,90,62,77,54,44,17,8,2790,169,144,189,117,57,49,24,100,228,279,243,216,222,186,176,75,89,42,44,77,35,12,17
Basalt town,4935,10804935,3984,1976,115,90,110,67,35,27,21,55,148,138,163,137,154,143,120,60,90,51,73,92,55,22,10,2008,98,105,112,60,22,14,12,70,146,184,156,137,135,141,136,55,106,56,65,95,51,33,19
Bayfield town,5265,10805265,2838,1419,93,158,139,62,31,6,7,46,73,99,133,111,92,71,53,29,35,28,36,51,31,21,14,1419,127,126,104,52,22,12,5,23,97,122,120,102,77,75,71,27,43,36,47,55,32,20,24
Bennett town,6090,10806090,2862,1441,89,95,125,90,40,9,23,48,122,109,94,92,68,90,111,48,54,33,29,41,16,8,7,1421,96,121,128,69,34,18,11,48,114,118,71,83,77,105,84,23,56,36,33,41,29,16,10
Berthoud town,6255,10806255,10332,5060,321,388,373,200,111,53,42,143,301,392,404,357,279,336,347,140,182,131,151,183,126,56,44,5272,324,393,382,192,111,42,46,141,319,426,405,352,308,322,387,126,217,128,160,225,136,69,61
Bethune town,6530,10806530,183,89,6,7,6,7,1,1,2,1,5,4,3,6,8,4,10,0,5,0,3,4,2,2,2,94,11,6,6,3,3,2,0,1,1,3,7,8,4,6,10,1,3,6,1,2,5,1,4
Black Hawk city,7025,10807025,127,79,2,2,1,3,2,0,0,3,2,7,7,2,8,5,10,6,7,6,1,0,2,2,1,48,0,0,4,1,1,0,0,0,3,2,4,4,6,0,5,2,5,2,2,3,0,4,0
Blanca town,7190,10807190,322,160,7,16,12,4,5,2,0,9,7,4,8,8,12,10,12,6,9,5,4,12,5,0,3,162,8,8,15,6,3,3,2,4,7,13,8,11,8,9,8,6,5,7,8,3,10,3,7
Blue River town,7410,10807410,877,493,33,19,27,19,10,1,3,11,49,44,41,44,37,28,36,10,16,11,17,25,10,1,1,384,10,27,23,14,6,3,2,19,35,27,31,29,24,29,28,7,15,7,20,15,7,5,1
Bonanza town,7571,10807571,17,10,0,0,0,1,0,0,0,0,0,1,1,1,3,0,0,0,0,0,0,1,2,0,0,7,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,1,1,0
Boone town,7795,10807795,305,165,5,11,15,5,3,2,0,3,14,17,9,14,4,11,17,1,11,1,6,7,1,3,5,140,5,7,11,4,6,0,0,4,7,9,10,6,10,7,15,8,6,7,4,2,1,6,5
Boulder city,7850,10807850,108250,55982,1676,1971,2285,1512,4863,2577,2625,5402,6112,4385,3071,2716,2833,2749,2450,1023,1380,901,1250,1858,1097,643,603,52268,1571,1877,2229,1368,4851,2352,2402,3933,4550,3538,2773,2745,2754,2730,2497,982,1474,924,1405,1985,1333,897,1098
Bow Mar town,8070,10808070,853,426,12,36,38,25,9,2,4,21,7,6,15,15,29,42,28,17,21,13,25,28,13,11,9,427,10,33,42,32,13,9,4,7,3,6,12,22,40,39,29,13,16,13,16,25,17,11,15
